,일시,eocs지역명,평균기온(°C),평균최고기온(°C),평균최저기온(°C),평균상대습도(%),최소상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),최대풍속(m/s),합계 일조시간(hr),일조율(%),최심적설(cm),평균지면온도(°C)
102,2020-11,광주전남,10.828571428571427,15.721428571428572,6.285714285714286,66.21428571428571,19.5,19.05,2.7357142857142853,10.15,167.02857142857144,53.86714285714286,0.0,11.37142857142857
103,2020-11,대구경북,8.446666666666667,14.386666666666667,3.1266666666666665,62.86666666666667,14.066666666666666,38.04,2.013333333333333,8.96,174.9,56.99,0.0,9.153333333333334
104,2020-11,대전충청,7.546153846153846,13.453846153846154,2.3076923076923075,69.15384615384616,14.153846153846153,40.79230769230769,1.3384615384615384,7.369230769230769,168.83846153846156,55.25615384615385,0.0,8.423076923076923
105,2020-11,부산경남,10.09375,16.19375,4.8625,63.0625,14.6875,45.08125,1.5875,8.56875,183.5625,59.37,0.0,10.5125
106,2020-11,서울,8.0,12.6,4.0,64.0,18.0,120.1,2.2,8.4,171.5,56.17,0.0,8.1
107,2020-11,인천,8.200000000000001,11.966666666666667,4.566666666666666,66.66666666666667,20.666666666666668,54.699999999999996,3.1666666666666665,12.0,167.4333333333333,54.92666666666667,0.0,7.833333333333333
108,2020-11,전북,8.559999999999999,14.309999999999999,3.55,70.9,21.1,57.25,1.6400000000000001,8.34,164.66,53.245000000000005,0.0,9.209999999999999
109,2020-11,제주,14.2,17.4,11.075,68.75,30.75,18.55,3.55,10.875,157.9,50.3425,0.0,13.95
110,2020-12,강원,-1.542857142857143,3.957142857142857,-6.378571428571428,55.57142857142857,13.928571428571429,4.05,1.6500000000000001,7.035714285714286,194.10714285714286,65.11214285714286,0.4714285714285715,-0.6428571428571429
111,2020-12,경기,-1.7600000000000002,3.88,-6.68,64.6,21.2,4.159999999999999,1.28,6.26,197.22,66.08,0.48,-0.5
112,2020-12,광주전남,2.985714285714286,8.242857142857144,-1.542857142857143,64.71428571428571,15.357142857142858,15.85,2.5714285714285716,10.514285714285714,178.06428571428572,58.154999999999994,2.457142857142857,3.557142857142857
113,2020-12,대구경북,0.39333333333333337,6.2733333333333325,-4.62,54.333333333333336,13.733333333333333,9.246666666666666,2.3,9.073333333333332,192.62,64.01933333333334,3.2933333333333334,0.7200000000000001
114,2020-12,대전충청,-0.6538461538461539,5.0,-5.392307692307692,66.15384615384616,17.615384615384617,6.546153846153846,1.3615384615384616,6.576923076923077,175.03076923076924,58.37307692307692,0.8538461538461538,0.5692307692307692
115,2020-12,부산경남,2.26875,8.375,-2.5875,55.6875,8.375,7.7437499999999995,1.7625,7.71875,201.46875,66.0825,0.0,2.30625
116,2020-12,서울,-0.3,3.9,-4.2,58.0,24.0,4.6,2.2,6.5,203.6,68.16,3.2,-0.4
117,2020-12,인천,0.4666666666666666,4.033333333333334,-3.0,60.666666666666664,23.666666666666668,7.633333333333333,3.3333333333333335,10.933333333333332,175.9333333333333,58.98,2.5,0.5
118,2020-12,전북,0.64,6.18,-3.8899999999999997,69.7,19.3,18.3,1.54,7.87,156.33999999999997,51.408,0.52,1.7
119,2020-12,제주,7.625,10.775,4.65,64.5,26.0,41.05,3.8,13.6,147.025,47.375,1.525,7.324999999999999
120,2021-01,강원,-3.435714285714286,2.164285714285714,-8.842857142857143,57.642857142857146,14.857142857142858,10.221428571428572,1.7785714285714285,9.171428571428573,180.64285714285714,58.824285714285715,0.35000000000000003,-2.3857142857142857
121,2021-01,경기,-3.6799999999999997,2.2199999999999998,-9.4,65.2,19.6,18.46,1.44,9.1,187.56,60.99400000000001,1.8800000000000001,-2.06
122,2021-01,광주전남,1.8714285714285714,6.928571428571429,-2.6999999999999997,70.85714285714286,21.5,32.778571428571425,2.6214285714285714,10.607142857142858,168.95714285714286,53.91428571428571,3.0500000000000003,2.792857142857143
123,2021-01,대구경북,-1.0533333333333335,4.72,-6.306666666666667,57.13333333333333,14.333333333333334,18.52,2.3800000000000003,10.139999999999999,183.57333333333332,59.16733333333333,4.84,-0.48666666666666664
